,Customer_ID,Age,Occupation,Monthly_Inhand_Salary,Total_EMI_per_month,Annual_Income,Amount_invested_monthly
0,CUS_0xd40,23,Scientist,1824.843333,49.57494921,19114.12,102.68810275666665
1,CUS_0x21b1,28,Teacher,3037.986667,18.81621457,34847.84,106.88583457416667
2,CUS_0x2dbc,35,Engineer,12187.22,246.9923195,143162.64,2031.4232455499998
3,CUS_0xb891,55,Entrepreneur,2612.490833,16.41545166,373870.89916666667,947.3354146949999
4,CUS_0x1cdb,22,Developer,2853.309167,0.0,35547.71,123.68278979833333
5,CUS_0x95ee,31,Lawyer,5988.705000000001,2544.1666666666665,73928.46,191.47918868083332
6,CUS_0x284a,34,Lawyer,10641.113442222222,5338.4208871,1029489.5333333333,561.7312211591667
7,CUS_0x5407,30,Media_Manager,2611.115,70.47833267,34081.38,159.56342719083332
8,CUS_0x4157,24,Doctor,9843.8675,226.8927919,114838.40999999999,380.03440603333337
9,CUS_0xba08,45,Journalist,2825.233333,1410.6481183141668,31370.8,164.40815259500002
10,CUS_0xa66b,41,Teacher,2948.605833,65.00817429,33751.27,142.2591990325
11,CUS_0xc0ab,33,Engineer,7266.686667,6820.325590083333,88640.24,210.42775211916668
12,CUS_0x3e45,36,Entrepreneur,4766.68,124.3920824,54392.16,285.7920919658333
13,CUS_0x6c66,39,Manager,519.12875,36.54819717,8701.545,37.631120446
14,CUS_0xff4,37,Entrepreneur,2415.855,101.3286374,25546.26,957.3707675725
15,CUS_0x33d2,31,Scientist,2942.148333,45.14129822,31993.78,1761.1862632883333
16,CUS_0x6070,21,Accountant,7591.589999999999,0.0,92047.08,289.6934841766667
17,CUS_0xfdb,46,Teacher,2848.844164,152.57839626666666,32284.62,1012.0623939783335
18,CUS_0x3553,26,Musician,7638.414042900001,472.36173982500003,97791.42,321.4957932127273
19,CUS_0x4100,32,Entrepreneur,1512.3616670000001,4759.274390386666,19300.34,112.46677724
20,CUS_0x132f,41,Musician,1828.24,0.0,19514.88,935.1482080183333
21,CUS_0xa16e,42,Media_Manager,1074.584583,37.58807284,10183.015,65.7715132225
22,CUS_0xac86,20,Entrepreneur,8873.4275,0.0,106733.13,389.68888369999996
23,CUS_0x5b48,32,Lawyer,782.0370833000001,2836.0553185691665,12600.445,49.711719251666665
24,CUS_0xa5f9,34,Mechanic,4720.926667,200.4326134,57983.12,301.028264725
25,CUS_0x4d43,48,Entrepreneur,1999.3074999999997,42.22199266,20787.69,938.2323893849999
26,CUS_0xb95f,30,Writer,2697.51,185.1119826,34290.12,969.6995989641667
27,CUS_0x3edc,33,Accountant,3622.1866670000004,30.576084819999995,43070.24,206.53112701
28,CUS_0xbffe,41,Architect,2210.0325,69.60292048,569190.5241666667,911.5212703033334
29,CUS_0xb681,38,Manager,3007.461667,4388.850650116667,39641.54,190.79218399166666
30,CUS_0x9a71,55,Scientist,1684.168333,1701.6121531,67367.10166666667,79.03700594583334
31,CUS_0x6048,44,Musician,1387.303333,2688.9611971316667,18627.64,77.52719307833333
32,CUS_0x95b5,22,Engineer,959.2287500000001,16.71930023,12986.745,71.4391581575
33,CUS_0x4004,44,Writer,4664.75,149.8971994,58317.0,188.27472031083335
34,CUS_0xb101,37,Scientist,3764.3316670000004,102.7629131,42171.98,152.677994066
35,CUS_0x9b94,36,Manager,5799.45,53.92351397000001,71681.4,1077.4629872
36,CUS_0x4080,16,Mechanic,2205.709027444444,102.86941780833332,29469.98,85.667316325
37,CUS_0x706a,20,Engineer,6284.613333,215.8391706,72559.36,270.70642220545454
38,CUS_0x42ac,37,Musician,1423.1683330000003,5212.231309633334,15566.019999999999,119.03070431666667
39,CUS_0x571f,19,Developer,5800.276667000001,3225.340247491667,66567.32,1084.1677122516667
40,CUS_0xb5ff,33,Media_Manager,853.8245833,6349.666666666667,1728626.4037499998,890.3750726508333
41,CUS_0x6a1b,33,Accountant,2623.703333,114.5330209,30788.44,971.3276435500001
42,CUS_0x9bc1,42,Architect,1740.539167,1293.73627746,20574.47,101.02407626333333
44,CUS_0xaedb,20,Musician,7185.5025,6754.166666666667,85554.03,998.265000235
45,CUS_0x8e9b,16,Entrepreneur,4369.4825,314.9017853,1579020.4741666664,204.6719697783333
46,CUS_0x609d,27,Architect,1057.435833,58.86844084,1656100.2108333334,911.7932278683334
47,CUS_0x75c6,30,Teacher,7489.973333000001,2603.56834725,305752.29,1079.5002008891668
48,CUS_0x9b3c,43,Lawyer,6810.19,574.0657979,81842.28,239.4404078518182
49,CUS_0x22a3,38,Doctor,8279.375,95.52162878,95956.5,473.437529325
50,CUS_0xb14,26,Manager,4091.9175,156.0033117,49967.01,195.84667869166665
51,CUS_0xb986,14,Developer,3224.935,133.4708452,39887.22,153.28093327
52,CUS_0xbe1b,44,Developer,1017.8487939999999,6530.512605234166,229020.78,72.10100573700001
53,CUS_0x9ce6,43,Developer,10416.02667,0.0,123732.32,1318.5212563391667
54,CUS_0x6ffb,37,Writer,1654.615,57.351165189999996,17251.38,80.01771077333333
55,CUS_0x4315,23,Entrepreneur,3132.524167,6874.567320176667,36822.29,135.839790675
56,CUS_0x3f5b,25,Doctor,6866.6925,2455.1666666666665,80108.31,246.247603195
57,CUS_0x9d78,21,Scientist,5978.466667,485.750431,69977.6,300.63523951583335
58,CUS_0x47db,16,Musician,6449.373333,291.7827603,78988.48,1867.15961557
60,CUS_0x7d0b,22,Media_Manager,1459.133333,78.41827155,19981.6,907.9141670541666
61,CUS_0x7504,19,Lawyer,5936.78,214.8134632,73737.36,278.6611640666667
62,CUS_0x774,34,Musician,7255.538333,211.1843903,88362.46,236.13825300166664
63,CUS_0x9f70,46,Entrepreneur,10115.05,0.0,118248.60000000002,1284.9900395666666
64,CUS_0xab76,26,Scientist,5197.508333,4436.195916141666,60162.1,1093.72253354
65,CUS_0x5cdf,18,Musician,6475.5212066,308.4510485,75273.24,250.25152049916665
67,CUS_0xa156,42,Entrepreneur,4824.555,3697.669514083334,58674.66,1065.249463425
68,CUS_0x74f2,31,Architect,2721.536667,5434.777368359167,30390.44,1780.990527745
69,CUS_0x308b,43,Doctor,3507.295,148.9132734,45207.54,965.7510945716667
70,CUS_0x2827,18,Scientist,11178.732605454545,1057.6646230833333,1737327.1600000001,1200.1606401083334
71,CUS_0xa295,39,Engineer,2651.8625,4881.661173525833,30346.349999999995,139.06931866583332
72,CUS_0x6c2e,47,Mechanic,1584.78875,4816.336306231667,18681.465,928.0625564325001
73,CUS_0x384c,42,Scientist,690.1116667,3015.9522005933336,886280.395,33.47465793166666
74,CUS_0x6cbb,35,Media_Manager,6300.581667,6680.816495133334,72330.98,256.0952202441667
75,CUS_0x36ab,16,Teacher,3417.809334181818,311.33311485,1900953.2825,147.40847206416666
76,CUS_0x6649,20,Mechanic,2767.231667,0.0,34106.78,125.15617702333333
77,CUS_0x6856,25,Teacher,10795.6325,389.30567249999996,1482246.4574999998,1202.3170765416667
78,CUS_0xa27e,34,Architect,1214.778333,1040.5742593091668,17001.34,1721.7883322108335
79,CUS_0x700d,21,Accountant,3969.5974999999994,248.5998859,44719.170000000006,1033.438044275
80,CUS_0x78e0,48,Accountant,1242.278333,1812.058331056667,17787.34,101.49146662333334
81,CUS_0x6794,42,Teacher,8527.755,64.00168567,478285.7216666667,373.2518100875
82,CUS_0xe2c,39,Journalist,2737.0099342000003,106.67034415,31021.24,944.2000400208332
83,CUS_0x36bb,37,Journalist,10635.641826363637,576.5000876500001,134978.24,1189.0067474583334
84,CUS_0xa77f,29,Writer,3047.676667,58.48765734,39800.12,196.74131836333333
85,CUS_0x1e70,18,Manager,1437.779167,5189.749347814167,14841.35,95.94675252833333
86,CUS_0xa335,22,Architect,5653.783333,214.0721231,66105.4,243.29464046916667
87,CUS_0x71e0,28,Mechanic,1548.245833,34.81396986,15398.950000000003,922.2107799108334
88,CUS_0x4af0,18,Developer,2518.839167,73.23331848,27070.069999999996,145.7547687575
89,CUS_0x3861,53,Engineer,1769.3979169999998,0.0,17992.775,1736.6308657775
90,CUS_0x240d,56,Musician,10872.26506,4661.506896416667,139354.48,500.2184902083333
91,CUS_0x2652,22,Teacher,1557.4375,0.0,18305.25,117.54781816
92,CUS_0x259a,26,Journalist,2606.105,17.69844332,27865.26,1793.4653668058334
93,CUS_0x28b5,36,Architect,1899.4049999999997,0.0,23404.86,90.64107992583332
94,CUS_0x8643,34,Musician,1086.7575,49.032395470000004,14205.090000000002,64.27758018416667
95,CUS_0x12d5,28,Scientist,5068.38,6245.150096391666,62320.56,241.85814466916668
96,CUS_0x3f04,25,Manager,3454.528333,56.31142051,43758.34,1060.3240533883334
97,CUS_0x62c6,20,Writer,11877.47333,6035.880011,144881.68,2193.709062966667
98,CUS_0x398d,39,Media_Manager,8926.275,3319.7479498,108147.3,2025.0697511416665
99,CUS_0x618b,28,Lawyer,1533.925,64.55062049,17759.1,133.41048897333334
100,CUS_0x7250,37,Teacher,6858.727499999999,68.45896611,85328.73,301.2326112783333
101,CUS_0x6435,27,Writer,10317.6507588,1053.833858175,134321.44,1222.5768250916667
102,CUS_0xb6ad,24,Lawyer,5235.0,4286.938775583333,61008.0,201.40567844333336
103,CUS_0x7878,19,Developer,2582.813333,22.68817758,28665.76,166.5432282025
104,CUS_0x35b5,19,Lawyer,4620.6425,187.1902189,56803.71,1036.4889292708333
105,CUS_0x7a0f,32,Architect,2904.068333,74.85037188,38364.82,947.0698904033334
106,CUS_0x1c09,22,Lawyer,5733.02,0.0,66528.24,134.67806014583334
107,CUS_0x2c0d,55,Doctor,1904.950417,296.3636715608333,760202.9545833333,134.39453174916665
108,CUS_0x9073,19,Journalist,2761.565833,0.0,31122.789999999997,165.208053665
109,CUS_0x2813,20,Architect,1213.283333,11.68573457,15015.4,92.02988097166667
110,CUS_0xac93,34,Engineer,1728.0875000000003,29.04553332,19777.05,1731.1627826983333
111,CUS_0x8c69,25,Musician,1851.335,25.58028082,797814.185,91.75987692833333
112,CUS_0x365a,54,Scientist,3260.4650000000006,0.0,41345.58,1787.5487674266667
113,CUS_0x7586,32,Engineer,4704.92,171.8230674,55151.04,178.4720607575
114,CUS_0x9c67,39,Manager,2430.718333,42.97244102,1081605.8499999999,930.4109713933334
115,CUS_0x7caf,29,Architect,12353.63333,192.20648330000003,791366.7166666667,1357.8721070000001
116,CUS_0xa2f7,43,Architect,1683.1016669999997,59.51321413,20005.22,115.82881417333333
117,CUS_0x5e17,33,Scientist,1662.626667,130.4754707,19795.52,101.53514061916667
118,CUS_0x1288,34,Doctor,5163.1775,2579.945950616667,60938.13,1063.66572365
119,CUS_0x567b,54,Manager,6623.738333,0.0,80396.86,270.93864084333336
120,CUS_0x2365,43,Writer,4517.86,256.2341792,57610.32,978.3629490816667
121,CUS_0x8a04,37,Journalist,1294.751667,60.64699328999999,18717.02,72.13870496333334
122,CUS_0x6015,17,Journalist,1346.935,24.17564765,19163.22,96.77961866416666
123,CUS_0x21e6,48,Media_Manager,7914.5725,2088.0,94554.87,1190.1423510058335
124,CUS_0xa9a6,27,Musician,5382.748333,738.1757814858333,63536.98,1079.8828814083333
